"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"mobile Einheit";"mobile Einheit - Sauge";"Equipe mobile - Sauge";"Haut du Village 8";"Plagne";"2536";"Gemeindeverwalltung";"Administration communale";"47.18821483687147, 7.286169276504067";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-12T10:00:00";"2022-01-12T18:00:00"
"mobile Einheit";"mobile Einheit - Plateau de Diesse";"Equipe mobile - Plateau de Diesse";"Route de Lamboing 30";"Diesse";"2517";"Salle du Battoir";"Salle du Battoir";"47.11419361009612, 7.121964756251874";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-13T10:00:00";"2022-01-13T18:00:00"
"mobile Einheit";"mobile Einheit - Renan";"Equipe mobile - Renan";"Rue du Collège";"Renan";"2616";"Gemeindezentrum";"Centre communal";"47.12794895182343, 6.929373951965248";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-13T10:00:00";"2022-01-13T18:00:00"
"mobile Einheit";"mobile Einheit - Eschert";"Equipe mobile - Eschert";"Rue du Tilleul 1";"Eschert";"2743";"Gemeindehaus";"Bâtiment communal";"47.275635425984106, 7.399385083238974";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-17T10:00:00";"2022-01-17T18:00:00"
"mobile Einheit";"mobile Einheit - Belprahon";"Equipe mobile - Belprahon";"Grand Clos 5";"Belprahon";"2744";"Gemeindezentrum";"Centre communal";"47.28533883339188, 7.404670613275128";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-17T10:00:00";"2022-01-17T18:00:00"
"mobile Einheit";"mobile Einheit - Cormoret";"Equipe mobile - Cormoret";"Vieille Route 4";"Cormoret";"2612";"Mehrzweckhalle";"Halle polyvalente";"47.17552342488569, 7.055413585089217";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-18T10:00:00";"2022-01-18T18:00:00"
"mobile Einheit";"mobile Einheit - Cortébert";"Equipe mobile - Cortébert";"Grand Rue 21";"Cortébert";"2607";"Mehrzweckhalle";"Halle polyvalente";"47.19158058557178, 7.1100992850896025";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-18T10:00:00";"2022-01-18T18:00:00"
"mobile Einheit";"mobile Einheit - La Ferrière";"Equipe mobile - La Ferrière";"Rue des 3 Cantons 20";"La Ferrière";"2333";"Mehrzweckhalle";"Halle polyvalente";"47.142854936156965, 6.8933280850885215";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-19T10:00:00";"2022-01-19T18:00:00"
"mobile Einheit";"mobile Einheit - Corgémont";"Equipe mobile - Corgémont";"Rue des Collèges 1";"Corgémont";"2606";"Veranstaltungsraum";"Salle de spectacle";"47.19570408345086, 7.148242898581509";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-20T10:00:00";"2022-01-20T18:00:00"
"mobile Einheit";"mobile Einheit - Sonceboz-Sombeval";"Equipe mobile - Sonceboz-Sombeval";"Rue des Prés 5";"Sonceboz-Sombeval";"2605";"Veranstaltungsraum";"Salle de spectacle";"47.19673938060637, 7.170868727417588";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-20T10:00:00";"2022-01-20T18:00:00"
"mobile Einheit";"mobile Einheit - Sonvilier";"Equipe mobile - Sonvilier";"La Ruette 24";"Sonvilier";"2615";"Gemeindesaal";"Salle communale";"47.13722394231174, 6.96170268508842";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-24T10:00:00";"2022-01-24T18:00:00"
"mobile Einheit";"mobile Einheit - Villeret";"Equipe mobile - Villeret";"Rue Principale 24";"Villeret";"2613";"Gemeindeverwaltung";"Administration communale";"47.15780147385568, 7.017882327416737";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-24T10:00:00";"2022-01-24T18:00:00"
"mobile Einheit";"mobile Einheit - Champoz";"Equipe mobile - Champoz";"Clos Vautier 24c";"Champoz";"2735";"Gemeinschaftlicher Unterstand";"Abri communal,";"47.258316411328785, 7.297024798582814";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-25T10:00:00";"2022-01-25T18:00:00"
"mobile Einheit";"mobile Einheit - La Scheulte";"Equipe mobile - La Scheulte";"Schulhaus";"La Scheulte";"2827";"Schulhaus";"Ecole,";"47.335134449265, 7.552264823155627";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-26T10:00:00";"2022-01-26T18:00:00"
"mobile Einheit";"mobile Einheit - Court";"Equipe mobile - Court";"Rue de Valle 19";"Court";"2738";"Gemeindezentrum";"Centre communal";"47.23874490239493, 7.339087298582409";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-26T10:00:00";"2022-01-26T18:00:00"
"mobile Einheit";"mobile Einheit - Court";"Equipe mobile - Court";"Rue de Valle 19";"Court";"2738";"Gemeindezentrum";"Centre communal";"47.23874490239493, 7.339087298582409";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-27T10:00:00";"2022-01-27T18:00:00"
"mobile Einheit";"mobile Einheit - Petit-Val";"Equipe mobile - Petit-Val";"Plaine Fin 17c";"Sornetan";"2716";"Gemeinschaftlicher Unterstand";"Abri communal";"47.274428864030234, 7.2167250274192725";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-27T10:00:00";"2022-01-27T18:00:00"
"mobile Einheit";"mobile Einheit - Courtelary";"Equipe mobile - Courtelary";"Grand-Rue 58a";"Courtelary";"2608";"Gemeindezentrum";"Centre communal";"47.17840870137445, 7.073199669745068";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-28T10:00:00";"2022-01-28T18:00:00"
"mobile Einheit";"mobile Einheit - Orvin";"Equipe mobile - Orvin";"Rte des Prés-d'Orvin";"Orvin";"2534";"Saal der Gesellschaften";"Salle des Sociétés";"47.16254144323851, 7.215146612072567";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-31T10:00:00";"2022-01-31T18:00:00"
"mobile Einheit";"mobile Einheit - Nods";"Equipe mobile - Nods";"Place du Village 5";"Nods";"2518";"Salle du Battoir";"Salle du Battoir";"47.11350281066965, 7.080530027415755";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-01-31T10:00:00";"2022-01-31T18:00:00"
"mobile Einheit";"mobile Einheit - Perrefitte";"Equipe mobile - Perrefitte";"Sous le Tacon 24";"Perrefitte";"2742";"Gemeindeverwaltung";"Administration communale";"47.27533956450193, 7.341794485091374";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-01T10:00:00";"2022-02-01T18:00:00"
"mobile Einheit";"mobile Einheit - Perrefitte";"Equipe mobile - Perrefitte";"Sous le Tacon 24";"Perrefitte";"2742";"Gemeindeverwaltung";"Administration communale";"47.27533956450193, 7.341794485091374";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-02T10:00:00";"2022-02-02T18:00:00"
"mobile Einheit";"mobile Einheit - Péry-La Heutte";"Equipe mobile - Péry-La Heutte";"Grand-Rue 54";"Péry";"2603";"Gemeindezentrum";"Centre communal";"47.19420413973721, 7.250770712073326";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-01T10:00:00";"2022-02-01T18:00:00"
"mobile Einheit";"mobile Einheit - Péry-La Heutte";"Equipe mobile - Péry-La Heutte";"Grand-Rue 54";"Péry";"2603";"Gemeindezentrum";"Centre communal";"47.19420413973721, 7.250770712073326";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-02T10:00:00";"2022-02-02T18:00:00"
"mobile Einheit";"mobile Einheit - Saicourt";"Equipe mobile - Saicourt";"Pré-Paroz 1";"Le Fuet";"2712";"Gemeindezentrum";"Centre communal";"47.244505849309185, 7.178996127418621";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-07T10:00:00";"2022-02-07T18:00:00"
"mobile Einheit";"mobile Einheit - Reconvillier";"Equipe mobile - Reconvillier";"Vie des Crêts 49";"Reconvillier";"2732";"Buvette bei der Tennishalle";"Buvette de la Halle de Tennis";"47.230176288708, 7.225871040910127";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-07T10:00:00";"2022-02-07T18:00:00"
"mobile Einheit";"mobile Einheit - Crémines";"Equipe mobile - Crémines";"Rue du Collège 7";"Crémines";"2746";"Turnhalle";"Halle de gymnastique";"47.28341548595273, 7.4415929274194665";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-08T10:00:00";"2022-02-08T18:00:00"
"mobile Einheit";"mobile Einheit - Grandval";"Equipe mobile - Grandval";"Grand Rue 29";"Grandval";"2745";"Gemeindezentrum";"Centre communal";"47.283337620673436, 7.422761869747339";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-08T10:00:00";"2022-02-08T18:00:00"
"mobile Einheit";"mobile Einheit - Tavannes";"Equipe mobile - Tavannes";"Rue du Foyer 1";"Tavannes";"2710";"Gemeindesaal";"Salle communale";"47.22371533372061, 7.199907085090291";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-09T10:00:00";"2022-02-09T18:00:00"
"mobile Einheit";"mobile Einheit - Tavannes";"Equipe mobile - Tavannes";"Rue du Foyer 1";"Tavannes";"2710";"Gemeindesaal";"Salle communale";"47.22371533372061, 7.199907085090291";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-10T10:00:00";"2022-02-10T18:00:00"
"mobile Einheit";"mobile Einheit - Valbirse";"Equipe mobile - Valbirse";"Grand Rue 50";"Malleray";"2735";"Gemeindesaal";"Salle communale";"47.239727539923095, 7.271943863853786";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-09T10:00:00";"2022-02-09T18:00:00"
"mobile Einheit";"mobile Einheit - Valbirse";"Equipe mobile - Valbirse";"Grand Rue 50";"Malleray";"2735";"Gemeindesaal";"Salle communale";"47.239727539923095, 7.271943863853786";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-10T10:00:00";"2022-02-10T18:00:00"
"mobile Einheit";"mobile Einheit - St-Imier";"Equipe mobile - St-Imier";"Rue de Beausite 1";"St-Imier";"2610";"Espace Beau-Site";"Espace Beau-Site";"47.155012178480355, 6.999957785088799";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-14T10:00:00";"2022-02-14T18:00:00"
"mobile Einheit";"mobile Einheit - St-Imier";"Equipe mobile - St-Imier";"Rue de Beausite 1";"St-Imier";"2610";"Espace Beau-Site";"Espace Beau-Site";"47.155012178480355, 6.999957785088799";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-15T10:00:00";"2022-02-15T18:00:00"
"mobile Einheit";"mobile Einheit - Moutier";"Equipe mobile - Moutier";"Avenue de la Liberté 9";"Moutier";"2740";"Sociét'Halle";"Sociét'Halle";"47.27910731786504, 7.373095269747244";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-15T10:00:00";"2022-02-15T18:00:00"
"mobile Einheit";"mobile Einheit - Moutier";"Equipe mobile - Moutier";"Avenue de la Liberté 9";"Moutier";"2740";"Sociét'Halle";"Sociét'Halle";"47.27910731786504, 7.373095269747244";"1,2";"true";"2";;;"mRNA";"von 10:00 bis 18:00";"de 10:00 à 18:00";"2022-02-16T10:00:00";"2022-02-16T18:00:00"
"Impftruck";"Impftruck - Ittigen";"Camion de vaccination - Ittigen";"Fischrainweg 17";"Worblaufen";"3048";"Schulhaus Atikofen";"École Atikofen";"46.97952514099868, 7.465482998576847";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-29T08:00:00";"2022-01-29T18:00:00"
"mobile Einheit";"mobile Einheit - Boltigen";"Equipe mobile - Boltigen";"Reidenbach 303";"Boltigen";"3766";"Mehrzweckhalle Schulanlage Reidenbach";"Salle polyvalente";"46.62198421513227, 7.37723464089708";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-01-29T09:00:00";"2022-01-29T13:00:00"
"mobile Einheit";"mobile Einheit - Boltigen";"Equipe mobile - Boltigen";"Reidenbach 303";"Boltigen";"3766";"Mehrzweckhalle Schulanlage Reidenbach";"Salle polyvalente";"46.62198421513227, 7.37723464089708";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-02-26T09:00:00";"2022-02-26T13:00:00"
"mobile Einheit";"mobile Einheit - Heiligenschwendi";"Equipe mobile - Heiligenschwendi";"Bim Schuelhus 199A";"Heiligenschwendi";"3625";"Schulhaus";"Ecole";"46.75294739534721, 7.674906007854936";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-01-22T09:00:00";"2022-01-22T13:00:00"
"mobile Einheit";"mobile Einheit - Heiligenschwendi";"Equipe mobile - Heiligenschwendi";"Bim Schuelhus 199A";"Heiligenschwendi";"3625";"Schulhaus";"Ecole";"46.75294739534721, 7.674906007854936";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-02-19T09:00:00";"2022-02-19T13:00:00"
"mobile Einheit";"mobile Einheit - Heimberg";"Equipe mobile - Heimberg";"Schulstrasse 14a";"Heimberg";"3627";"Aula Untere Au";"Aula Untere Au";"46.79028123096779, 7.6009301697367535";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-14T09:00:00";"2022-01-14T16:00:00"
"mobile Einheit";"mobile Einheit - Heimberg";"Equipe mobile - Heimberg";"Schulstrasse 14a";"Heimberg";"3627";"Aula Untere Au";"Aula Untere Au";"46.79028123096779, 7.6009301697367535";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-11T09:00:00";"2022-02-11T16:00:00"
"mobile Einheit";"mobile Einheit - Lauenen";"Equipe mobile - Lauenen";"Kirchstrasse 15";"Lauenen";"3782";"Mehrzweckhalle";"Salle polyvalente";"46.42463756177013, 7.3214442697289694";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-17T09:00:00";"2022-01-17T16:00:00"
"mobile Einheit";"mobile Einheit - Lauenen";"Equipe mobile - Lauenen";"Kirchstrasse 15";"Lauenen";"3782";"Mehrzweckhalle";"Salle polyvalente";"46.42463756177013, 7.3214442697289694";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-14T09:00:00";"2022-02-14T16:00:00"
"mobile Einheit";"mobile Einheit - Lenk";"Equipe mobile - Lenk";"Schulhausstrasse 2";"Lenk";"3775";"Gesamtschulhaus";"Ecole";"46.455959495032566, 7.44491976972966";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-15T09:00:00";"2022-01-15T16:00:00"
"mobile Einheit";"mobile Einheit - Lenk";"Equipe mobile - Lenk";"Schulhausstrasse 2";"Lenk";"3775";"Gesamtschulhaus";"Ecole";"46.455959495032566, 7.44491976972966";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-12T09:00:00";"2022-02-12T16:00:00"
"mobile Einheit";"mobile Einheit - Linden";"Equipe mobile - Linden";"Finstermoosstrasse 2";"Linden";"3673";"Kirchgemeindehaus Linden";"maison de paroisse Linden";"46.84726465201331, 7.678445356246147";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-01-22T09:00:00";"2022-01-22T13:00:00"
"mobile Einheit";"mobile Einheit - Linden";"Equipe mobile - Linden";"Finstermoosstrasse 2";"Linden";"3673";"Kirchgemeindehaus Linden";"maison de paroisse Linden";"46.84726465201331, 7.678445356246147";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 13:00";"de 09:00 à 13:00";"2022-02-19T09:00:00";"2022-02-19T13:00:00"
"mobile Einheit";"mobile Einheit - Spiez";"Equipe mobile - Spiez";"Thunstrasse 2";"Spiez";"3700";"Gemeindezentrum Lötschberg";"centre communautaire Lötschberg";"46.690538362496376, 7.675344885078894";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-03T09:00:00";"2022-02-03T16:00:00"
"mobile Einheit";"mobile Einheit - Spiez";"Equipe mobile - Spiez";"Thunstrasse 2";"Spiez";"3700";"Gemeindezentrum Lötschberg";"centre communautaire Lötschberg";"46.690538362496376, 7.675344885078894";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-03-03T09:00:00";"2022-03-03T16:00:00"
"mobile Einheit";"mobile Einheit - Uetendorf & Uttigen";"Equipe mobile - Uetendorf & Uttigen";"Moosweg 2";"Uetendorf";"3661";"Zehntenhaus";"Zehntenhaus";"46.775025931023855, 7.568323854392198";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-19T09:00:00";"2022-01-19T16:00:00"
"mobile Einheit";"mobile Einheit - Uetendorf & Uttigen";"Equipe mobile - Uetendorf & Uttigen";"Moosweg 2";"Uetendorf";"3661";"Zehntenhaus";"Zehntenhaus";"46.775025931023855, 7.568323854392198";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-16T09:00:00";"2022-02-16T16:00:00"
"mobile Einheit";"mobile Einheit - Zweisimmen";"Equipe mobile - Zweisimmen";"Beim Schulhaus";"Zweisimmen";"3770";"Gemeindesaal";"salle communale";"46.551905399553085, 7.3772249274037796";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-18T09:00:00";"2022-01-18T16:00:00"
"mobile Einheit";"mobile Einheit - Zweisimmen";"Equipe mobile - Zweisimmen";"Beim Schulhaus";"Zweisimmen";"3770";"Gemeindesaal";"salle communale";"46.551905399553085, 7.3772249274037796";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-15T09:00:00";"2022-02-15T16:00:00"
"mobile Einheit";"mobile Einheit - Sigriswil";"Equipe mobile - Sigriswil";"Vikar-Kuhn-Weg 9";"Sigriswil";"3655";"Pfrundschüür Sigriswil";"Pfrundschüür Sigriswil";"46.7168246826093, 7.711114485079428";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-01-25T09:00:00";"2022-01-25T16:00:00"
"mobile Einheit";"mobile Einheit - Sigriswil";"Equipe mobile - Sigriswil";"Vikar-Kuhn-Weg 9";"Sigriswil";"3655";"Pfrundschüür Sigriswil";"Pfrundschüür Sigriswil";"46.7168246826093, 7.711114485079428";"1,2";"true";"2";;;"mRNA";"von 09:00 bis 16:00";"de 09:00 à 16:00";"2022-02-22T09:00:00";"2022-02-22T16:00:00"
"Impftruck";"Impftruck - Schwarzenburg";"Camion de vaccination - Schwarzenburg";"Bahnhofstrasse 3-5";"Schwarzenburg";"3150";"";"";"46.81913179858039, 7.342663769737357";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und von 15:00 bis 18:00";"de 08:00 à 14:00 et de 15:00 à 18:00";"2022-01-25T08:00:00";"2022-01-25T18:00:00"
